question,option1,option2,option3,option4,answer
Who is the South African Nobel Laureate author of 'Disgrace'?,Nadine Gordimer,Alan Paton,J.M. Coetzee,Doris Lessing,J.M. Coetzee
Who wrote the science fiction novel 'Neuromancer'?,Philip K. Dick,Arthur C. Clarke,William Gibson,Isaac Asimov,William Gibson
What Irish-born writer is famous for the play 'Waiting for Godot'?,James Joyce,Oscar Wilde,Samuel Beckett,George Bernard Shaw,Samuel Beckett
"Which author, known for 'The Color Purple', won the Pulitzer Prize for Fiction in 1983?",Zora Neale Hurston,Toni Morrison,Alice Walker,Maya Angelou,Alice Walker
Who wrote the influential feminist work 'The Second Sex'?,Simone de Beauvoir,Betty Friedan,Gloria Steinem,Germaine Greer,Simone de Beauvoir
What Russian author is best known for 'War and Peace'?,Anton Chekhov,Alexander Solzhenitsyn,Leo Tolstoy,Fyodor Dostoevsky,Leo Tolstoy
Which Australian author is known for the novel 'The Book Thief'?,Markus Zusak,Liane Moriarty,Geraldine Brooks,Richard Flanagan,Markus Zusak
What poet is famous for the collection 'Leaves of Grass'?,Robert Frost,Emily Dickinson,Walt Whitman,Langston Hughes,Walt Whitman
Who is the Egyptian Nobel Prize-winning author of 'Palace Walk'?,Naguib Mahfouz,Alaa Al Aswany,Tawfiq al-Hakim,Ahmed Saadawi,Naguib Mahfouz
"The author of 'One Hundred Years of Solitude', Gabriel Garcia Marquez, hailed from which country?",Mexico,Spain,Colombia,Chile,Colombia
"Who wrote the historical fiction novel 'I, Claudius'?",Robert Graves,Gore Vidal,Hilary Mantel,Marguerite Yourcenar,Robert Graves
Which author is famous for the 'Foundation' series of science fiction books?,Arthur C. Clarke,Isaac Asimov,Robert Heinlein,Philip K. Dick,Isaac Asimov
Who is the prolific British fantasy author of 'Discworld' series?,Terry Pratchett,J.K. Rowling,Neil Gaiman,Philip Pullman,Terry Pratchett
The novel 'The Shadow of the Wind' was written by which Spanish author?,Javier Marías,Carlos Ruiz Zafón,Arturo Pérez-Reverte,Antonio Muñoz Molina,Carlos Ruiz Zafón
"Which Kenyan author wrote 'Weep Not, Child'?",Ngũgĩ wa Thiong'o,Chinua Achebe,Wole Soyinka,Tsitsi Dangarembga,Ngũgĩ wa Thiong'o
"Who wrote 'The Master and Margarita', a famous Soviet-era novel?",Ivan Turgenev,Fyodor Dostoevsky,Vladimir Nabokov,Mikhail Bulgakov,Mikhail Bulgakov
Which French author is known for the series of novels 'Les Rougon-Macquart'?,Honoré de Balzac,Émile Zola,Victor Hugo,Alexandre Dumas,Émile Zola
The book 'The Little Prince' was written by which author?,Jean-Paul Sartre,Antoine de Saint-Exupéry,Albert Camus,Gustave Flaubert,Antoine de Saint-Exupéry
Which American author is well-known for her novel 'The Joy Luck Club'?,Amy Tan,Maxine Hong Kingston,Lisa See,Celeste Ng,Amy Tan
"Who is the author of 'Invisible Man', a powerful novel about African-American identity?",James Baldwin,Richard Wright,Ralph Ellison,Langston Hughes,Ralph Ellison
Which author created the detective character Hercule Poirot?,Arthur Conan Doyle,Agatha Christie,Dorothy L. Sayers,Raymond Chandler,Agatha Christie
"The writer of 'The Chronicles of Narnia', C.S. Lewis, was born in which country?",England,Scotland,Ireland,Wales,Ireland
Who authored 'The Hitchhiker's Guide to the Galaxy'?,Isaac Asimov,Douglas Adams,Philip K. Dick,Terry Pratchett,Douglas Adams
Which author wrote 'Their Eyes Were Watching God'?,Toni Morrison,Zora Neale Hurston,Alice Walker,Maya Angelou,Zora Neale Hurston
Which poet wrote the epic 'Paradise Lost'?,John Keats,William Blake,John Milton,Geoffrey Chaucer,John Milton
Which author wrote 'The Bluest Eye' and won the Nobel Prize for Literature in 1993?,Toni Morrison,Alice Walker,Maya Angelou,Virginia Woolf,Toni Morrison
Who is the Canadian author of 'Life of Pi'?,Michael Ondaatje,Margaret Atwood,Yann Martel,Douglas Coupland,Yann Martel
"The author of 'Crime and Punishment', Fyodor Dostoevsky, was from which country?",Poland,Germany,Russia,Austria,Russia
Which author is known for writing the novel 'Frankenstein'?,Bram Stoker,Mary Shelley,H.G. Wells,Edgar Allan Poe,Mary Shelley
Who wrote the Pulitzer Prize-winning novel 'The Goldfinch'?,Donna Tartt,Jhumpa Lahiri,Elizabeth Strout,Anne Tyler,Donna Tartt
"The author of the play 'Death of a Salesman', Arthur Miller, was married to which famous actress?",Marilyn Monroe,Audrey Hepburn,Elizabeth Taylor,Vivien Leigh,Marilyn Monroe
Which poet is famous for writing 'Do not go gentle into that good night'?,W.B. Yeats,Dylan Thomas,T.S. Eliot,Robert Frost,Dylan Thomas
What Chilean author penned 'The House of the Spirits'?,Pablo Neruda,Isabel Allende,Gabriel Garcia Marquez,Mario Vargas Llosa,Isabel Allende
The famous play 'Pygmalion' was written by which playwright?,Oscar Wilde,George Bernard Shaw,Samuel Beckett,Tom Stoppard,George Bernard Shaw
Which American author wrote 'Slaughterhouse-Five'?,Kurt Vonnegut,John Steinbeck,Ernest Hemingway,Mark Twain,Kurt Vonnegut
The novel 'Middlemarch' was written by which English author?,Jane Austen,George Eliot,Charlotte Brontë,Emily Brontë,George Eliot
Who is the author of the novel 'The God of Small Things'?,Aravind Adiga,Salman Rushdie,Vikram Seth,Arundhati Roy,Arundhati Roy
The 'Outlander' series of novels were written by which author?,Diana Gabaldon,Nora Roberts,E.L. James,Suzanne Collins,Diana Gabaldon
The book 'On the Road' is a seminal work of which author?,Jack Kerouac,Allen Ginsberg,William S. Burroughs,Hunter S. Thompson,Jack Kerouac
Which British author and humorist is known for the 'Jeeves' series?,Charles Dickens,Evelyn Waugh,P.G. Wodehouse,Douglas Adams,P.G. Wodehouse
Who wrote the play 'Long Day's Journey Into Night'?,Tennessee Williams,Eugene O'Neill,Arthur Miller,Sam Shepard,Eugene O'Neill
The book 'One Hundred Years of Solitude' was authored by which writer?,Mario Vargas Llosa,Gabriel García Márquez,Julio Cortázar,Carlos Fuentes,Gabriel García Márquez
Which Irish author wrote 'Ulysses'?,Samuel Beckett,W.B. Yeats,James Joyce,Oscar Wilde,James Joyce
Who created the fantasy world of Middle-earth?,C.S. Lewis,J.R.R. Tolkien,George R.R. Martin,Terry Pratchett,J.R.R. Tolkien
Which author wrote the Pulitzer Prize-winning 'The Grapes of Wrath'?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,John Steinbeck
The 'Harry Potter' series was written by which author?,J.K. Rowling,Stephenie Meyer,Philip Pullman,Suzanne Collins,J.K. Rowling
Which American author wrote 'The Tell-Tale Heart'?,Mark Twain,H.P. Lovecraft,Edgar Allan Poe,Nathaniel Hawthorne,Edgar Allan Poe
The novel 'Lolita' was written by which author?,Vladimir Nabokov,Fyodor Dostoevsky,Leo Tolstoy,Anton Chekhov,Vladimir Nabokov
Which author is known for the series of novels featuring the character Jack Reacher?,Lee Child,Tom Clancy,John Grisham,Stephen King,Lee Child
Which author's works include 'The Sun Also Rises' and 'For Whom the Bell Tolls'?,William Faulkner,Ernest Hemingway,John Steinbeck,F. Scott Fitzgerald,Ernest Hemingway
Who wrote the famous children's book 'Charlotte's Web'?,Dr. Seuss,E.B. White,Roald Dahl,Maurice Sendak,E.B. White
Which author is famous for writing 'The Canterbury Tales'?,William Shakespeare,John Milton,Geoffrey Chaucer,Thomas Malory,Geoffrey Chaucer
Who wrote the novel 'The Call of the Wild'?,Jack London,Mark Twain,Ernest Hemingway,John Steinbeck,Jack London
Which author is known for 'The Silence of the Lambs'?,Stephen King,Dean Koontz,Thomas Harris,John Grisham,Thomas Harris
'A Brief History of Time' was written by which author?,Carl Sagan,Richard Feynman,Stephen Hawking,Brian Greene,Stephen Hawking
Which author created the character of Ramona Quimby?,Beverly Cleary,Judy Blume,Lois Lowry,Kate DiCamillo,Beverly Cleary
"The 'In Death' series of novels are written by which author, also known for her romance novels?",Nora Roberts / J.D. Robb,Sandra Brown,Julie Garwood,Mary Higgins Clark,Nora Roberts / J.D. Robb
Who wrote the dystopian novel 'Fahrenheit 451'?,George Orwell,Aldous Huxley,Ray Bradbury,Philip K. Dick,Ray Bradbury
Which author is known for the 'Dark Tower' series?,J.R.R. Tolkien,C.S. Lewis,Stephen King,Terry Pratchett,Stephen King
'Great Expectations' is a novel by which author?,Charles Dickens,Jane Austen,George Eliot,Thomas Hardy,Charles Dickens
Which author wrote 'Gone with the Wind'?,Margaret Mitchell,Harper Lee,Edith Wharton,Willa Cather,Margaret Mitchell
Who wrote the 'Alex Cross' series?,John Grisham,James Patterson,Michael Connelly,Lee Child,James Patterson
Who wrote the epic poem 'Gitanjali' for which he won the Nobel Prize in Literature?,R.K. Narayan,Vikram Seth,Rabindranath Tagore,Jhumpa Lahiri,Rabindranath Tagore
Which Indian author is known for the 'Malgudi Days' collection?,Khushwant Singh,R.K. Narayan,Chetan Bhagat,Shashi Tharoor,R.K. Narayan
Who is the author of the historical novel 'The Last Mughal'?,Vikram Seth,William Dalrymple,Ramachandra Guha,Kiran Desai,William Dalrymple
"'Train to Pakistan', a novel about the Partition of India, was written by which author?",Ruskin Bond,V.S. Naipaul,Khushwant Singh,Bapsi Sidhwa,Khushwant Singh
The author of the book 'India After Gandhi' is?,Romila Thapar,Bipan Chandra,Ramachandra Guha,Jawaharlal Nehru,Ramachandra Guha
Which Indian author wrote the novel 'A Suitable Boy'?,Amitav Ghosh,Rohinton Mistry,Vikram Seth,Aravind Adiga,Vikram Seth
"'The White Tiger', which won the Booker Prize, is authored by whom?",Salman Rushdie,Aravind Adiga,Kiran Desai,Jhumpa Lahiri,Aravind Adiga
"The novel 'The Inheritance of Loss', which won the Man Booker Prize, was written by which Indian author?",Anita Desai,Kiran Desai,Shashi Tharoor,Nirad C. Chaudhuri,Kiran Desai
