id,question,answer
26,What body part did Draco Malfoy recoil when Madam Malkin tried to touch?,left arm
27,Who could the prophecy have referred to besides Harry?,Neville
28,Who was the only person in Slughorn's compartment who was not invited due to a connection to someone influential?,Ginny
29,"Who did Ginny hex, prompting Slughorn to invite her to lunch?",Zacharias Smith
30,What does Malfoy claim will matter most under the Dark Lord's rule instead of academic qualifications? ,"the kind of service he received, the level of devotion he was shown"
31,What healing spell did Tonks use on Harry's nose?,Episkey
32,How many points did Snape deduct from Gryffindor for lateness?,Fifty points
33,What position did Professor Slughorn agree to resume according to Dumbledore's announcement?,Potions master
34,What type of item did Hermione ban and confiscate from the fourth-year student?,Fanged Frisbees
35,Why did Snape assign Harry detention?,"I do not take cheek from anyone, Potter"
36,What password to Dumbledore's office did Harry deduce from the note's postscript?,Acid Pops
37,What is the name of the potion in the small black cauldron on Slughorn's desk?,Felix Felicis
38,What reward did Slughorn give Harry for creating the successful potion?,one bottle of Felix Felicis
39,What password did Harry say to the gargoyle to access Dumbledore's office?,Acid Pops
40,What was Morfin doing with the live adder in the cottage?,twisting a live adder between his thick fingers and crooning softly at it in Parseltongue
41,What heavy gold item did Mr. Gaunt force Merope to show to Ogden by grabbing her necklace?,heavy gold locket
42,What sentence was Morfin Gaunt given by the Wizengamot?," ""three years in Azkaban"""
43,Why did the villagers think Tom Riddle married Merope?,pretending that she was going to have his baby
44,What spell did Harry mutter to remove the covers from his old and new books?,Dijjindo!
45,Which new Chaser was particularly good at dodging Bludgers?,Demelza Robins
46,What were the maggots in Hagrid's barrel intended to be used for?,feed ter Aragog
47,Where had Arthur Weasley been according to the newspaper article?,the Malfoys' house
48,Why does Hermione believe the spell from the potion book is unsafe?,Because its probably not Ministry of Magic approved
49,Where did Tonks say Mundungus was likely to have gone after fleeing the confrontation?,in London
50,What specific cursed item was revealed when the package tore open?,ornate opal necklace
51,Why did Professor McGonagall claim Draco Malfoy was not in Hogsmeade when Katie was cursed?,doing detention with me
52,Why did Professor Snape handle Katie's accident instead of Madam Pomfrey?," ""Professor Snape knows much more about the Dark Arts than Madam Pomfrey"""
53,What did Tom Riddle's mother say regarding the baby's appearance before she died?,I hope he looks like his papa
54,What place did Tom Riddle mistakenly believe Dumbledore was associated with?,the asylum
55,What ability does Riddle tell Dumbledore he has that Dumbledore confirms is unusual but not unheard of?,speak to snakes
56,Why did Dumbledore say the mouth organ was 'only ever a mouth organ'?," ""the mouth organ was only ever a mouth organ"""
57,What spell did Harry use to heal Demelza's injury after Ron's mishap during practice?,Episkey
58,"Who did Hermione snog, as mentioned in Ginny's argument with Ron?",Viktor Krum
59,What did Hermione accuse Harry of doing to Ron's drink?,tipped something into Ron's drink
60,What excuse did Ginny give after crashing into the commentator's podium?,"Forgot to brake, Professor, sorry"
61,What spell did Hermione cast to make the golden birds attack Ron?,Oppugno
62,What three things do Secrecy Sensors detect according to Hermione?,"jinxes, curses, and concealment charms"
63,Who was Hermione planning to meet at eight o'clock to attend Slughorn's party?,Cormac
64,What did Professor Trelawney call Firenze?,Dobbin
65,Who did Snape identify as Draco Malfoy's Occlumency teacher?,Aunt Bellatrix
66,"What happens if someone breaks an Unbreakable Vow, according to Ron?",You die
67,What potion did Snape make for Lupin every month while Lupin was teaching at Hogwarts?,the Wolfsbane Potion
68,Why do werewolves support Voldemort according to Lupin?,"they think that, under his rule, they will have a better life"
69,"What was inside the package labeled 'To Master, From Kreacher' that Harry received?"," ""a large number of maggots"""
70,Who informed Scrimgeour about Harry's ambition to become an Auror?,Dolores Umbridge
71,What was the new password to enter the Gryffindor common room?,Abstinence
72,What is the cost listed for the Apparition Lessons as stated in the notice?,12 Galleons
73,How did Dumbledore describe the second memory he had to show Harry?,the most important I have collected
74,What did Morfin repeatedly claim to his captors after the Riddles' murders?,He'll kill me for losing his ring
75,Why did Slughorn tamper with his memory according to Dumbledore?,he is ashamed of what he remembers
76,What specific advice did Harry find written in the Half-Blood Prince's Potions book regarding antidotes?,Just shove a bezoar down their throats
77,What book's introduction mentions Horcruxes but refuses to give directions?,Magick Mostc Evilc
78,What three Ds did Wilkie Twycross emphasize as crucial when teaching Apparition?,"Destination, Determination, Deliberation"
79,"What three Ds did Wilkie Twycross emphasize as crucial for Apparition, repeating them at the end of the lesson?",Destination. Determination. Deliberation.
80,What specific type of watch did Ron’s parents give him as a present?," ""heavy gold watch with odd symbols around the edge and tiny moving stars instead of hands."""
81,What did Harry use to save Ron after he drank the poisoned mead?,bezoar
82,Why did Dumbledore believe Voldemort was interested in recruiting Slughorn according to Harry?,Voldemort wanted Slughorn on his side
83,"What specific task was Snape supposed to do in Slytherin that Dumbledore spoke to him about, according to Hagrid?","investigations in his House, in Slytherin"
84,What was the demeanor of the two girls accompanying Malfoy when he encountered Harry in the corridor?,sulky and resentful
85,What was the final score of the Quidditch match according to Ron?,three hundred and twenty to sixty
86,What specific task did Harry assign to both Kreacher and Dobby regarding Draco Malfoy?,to tail Draco Malfoy
87,What is the Gurdyroot excellent for according to Luna?,warding off Gulping Plimpies
88,What subject did Voldemort want to teach at Hogwarts before working at Borgin and Burkes?,Defense Against the Dark Arts
89,What mark did Voldemort identify on the golden locket Hepzibah showed him?,Slytherin's
90,What did the Ministry conclude was the reason for Hokey's accidental poisoning of Hepzibah?,being old and confused
91,"What specific teaching position did Voldemort apply for at Hogwarts, according to Dumbledore's explanation?",Defense Against the Dark Arts job
92,What type of quill was Ron using that kept mis-spelling words in his essay?,Fred and George's Spell-Check ones
93,What did the girl that Hermione repaired for drop to warn Malfoy not to come out?,scales
94,Who did Snape identify as the person mistakenly reported as an Inferius in the newspaper?,Mundungus Fletcher
95,What object was the little girl clutching that Hermione had so kindly helped her with?,heavy brass scales
96,What did Harry suggest Tonks' Patronus had become?,him
97,What was the name of the werewolf rumored to have attacked the Montgomery sisters' brother?,Fenrir Greyback
98,Why did Ron fail his Apparition test according to Hermione?,left half an eyebrow behind
99,Why couldn’t Hagrid enter the forest after Aragog’s death?,the other spiders wouldn' let me anywhere near their webs now Aragog's gone
100,What kind of hair was hanging from Hagrid's ceiling?,unicorn hair
101,What password did Harry use to gain entry to Dumbledore's office?,toffee eclairs
102,What act does Slughorn state is necessary for splitting the soul when creating a Horcrux?,By committing murder.
103,What numberdid Vol demort consider the most power fully magical for creating Horcruxes?,seven
104,"According to Dumbledore, where does the seventh part of Voldemort's soul reside?",inside his regenerated body
105,How did Voldemort discover that the diary Horcrux had been destroyed?,forced the truth out of Lucius Malfoy
106,What excuse did Hermione give when asked why she was grinning?,It's a nice day.
107,How long does the brewing process for Felix Felicis take as stated in Advanced Potion-Making?,six months
108,What spell did Harry cast that caused blood to spurt from Malfoy's face?,SECTUMSEMPRA!
109,How many legs did the skeleton in the cupboard have?,five legs
110,What specific range of boxes was Snape instructing Harry to sort?," ""one thousand and twelve to one thousand and fifty-six"""
111,Where did Hermione obtain the old piece of newsprint that had Eileen Prince's photograph?,The library
112,Who interrupted Professor Trelawney's interview with Dumbledore according to her account?,Severus Snape
113,What does Dumbledore instruct Harry to do immediately before meeting him in the Entrance Hall?,fetch your Cloak
114,What was wrapped in the socks that Harry gave Ron?,Felix Felicis
115,What did Dumbledore believe was required to make payment to pass through the concealed entrance in the cave?,Blood
116,What does Dumbledore correct Harry to when Harry refers to a single 'thing' in the lake?,things
117,What color was the liquid in the stone basin?,emerald liquid
118,Why did the water vanish when Harry tried to give it to Dumbledore?,because Voldemort had planned it so
119,What assistance did Dumbledore specifically request instead of going to the hospital wing after collapsing in Hogsmeade?,Professor Snape
120,What specific appearance is described for the Dark Mark in the excerpt?,blazing green skull with a serpent tongue
121,Where was the other Vanishing Cabinet located that Malfoy used to create a passage into Hogwarts?,Borgin and Burkes
122,What is the name of the lumpy-looking Death Eater who mentions Dumbledore being cornered?,Amycus
123,What were Dumbledore's final spoken words before Snape killed him?,"'""Severus ... please ...""'"
124,What title does Snape explicitly declare himself to be during his confrontation with Harry?,"I, the Half-Blood Prince!"
125,What phrase describes the expression on Hagrid's face when Harry told him that Snape killed Dumbledore?,"completely blank, uncomprehending"
126,What is the name of the person who wrote the message found in the locket?," ""R.A.B."""
127,Where was Professor Flitwick found unconscious?,in Snape's office
128,What did Mrs. Weasley offer to lend Fleur for her wedding?,a very beautiful tiara - goblin-made
129,Which professor argued that Hogwarts should remain open for even a single pupil who wanted to attend?,Professor Sprout
130,What initials were inscribed on the fake Horcrux that Harry showed Ron?,R.A.B.
131,What was the maiden name of Snape's mother as revealed by Hermione?,Prince
132,What did Hagrid place carefully upon the table at Dumbledore's memorial?,Dumbledore's body
133,What did Scrimgeour claim were found along with the Stupefied Death Eater on the Tower?," ""two broomsticks"""
134,What peculiar sign did Mr. Dursley notice on the corner of the street before getting into his car?,a cat reading a map
135,On what was the tabby cat sitting when Mr. Dursley returned home after seeing the strange events?,garden wall
136,What is the name of the object Dumbledore used to extinguish the street lamps?,Put-Outer
137,What house number does Professor McGonagall point to when questioning Harry's placement?,number four
138,What shape is the scar on Harry's forehead?,a bolt of lightning
139,What was the state of the largest snake in the reptile house when Dudley wanted it to move?,fast asleep
140,What action did Harry perform in response to the snake's initial wink?,"winked, too"
141,What four animals surrounded the letter H on the seal of Harry's letter?,"a lion, an eagle, a badger, and a snake"
142,What action did Uncle Vernon take to prevent letters from being delivered after tearing them into pieces?,nailed up the mail slot
143,"What was inside the long, thin package that Uncle Vernon brought?",a rifle
144,"What did Uncle Vernon whisper when Hagrid boomed ""DURSLEY!""?",Mimblewimble
145,No one ever lived after he decided ter kill 'em, no one except you
146,What is the name of the wizards' bank mentioned by Hagrid?,Gringotts
147,Why would you be mad to try and rob Gringotts?,Spells -- enchantments
148,What did Hagrid use to tap the wall in the Leaky Cauldron's courtyard to open the entrance to Diagon Alley?,his umbrella
149,What method did Hagrid use to explain the difference between stalagmites and stalactites?,Stalagmite's got an 'm' in it
150,"What Hogwarts house is associated with those who went bad, according to Hagrid?",Slytherin
151,What type of wood was the wand that gave Harry his lightning scar made of?,yew
152,What specific instruction did the plump woman give Harry for reaching the correct platform?,walk straight at the barrier between platforms nine and ten
153,What did Mrs. Weasley specifically mention the Weasley twins had done before that she wanted them to stop?,blown up a toilet
154,How many brothers does Ron have?," ""Five"""
155,What were the names of Draco Malfoy's two companions when he entered the compartment?,Crabbe and Goyle
157,Which house was Lavender Brown sorted into?,Gryffindor
158,What unusual words did Dumbledore say as his opening speech before the banquet?,Nitwit! Blubber! Oddment! Tweak!
159,"According to Percy, what job is Professor Snape after instead of teaching Potions?"," ""Quirrell's job"""
160,Who is the only one who can control him as stated in the excerpt?,The Bloody Baron
161,Who wrote the note delivered to Harry by Hedwig that morning?,Hagrid
162,On what specific date did the Gringotts break-in occur as mentioned in the Daily Prophet article?," ""31 July"""
163,What did Madam Hooch instruct the students to do with the brooms while she took Neville to the hospital wing?,leave those brooms where they are
164,What position was Harry Potter recruited to play by Professor McGonagall for the Gryffindor Quidditch team?,Seeker
165,What spell did Hermione whisper to unlock the door?,Alohomora
166,What was the three-headed dog standing on that Hermione pointed out?,a trapdoor
167,Which Quidditch ball is described as the most important by Oliver Wood?,the Golden Snitch
168,Why did the troll's club drag along the floor?,because its arms were so long
169,Why did Hermione claim she tried to handle the mountain troll on her own?,because I've read all about them
170,What did Snape claim made it difficult to keep his eyes on while受伤?,all three heads at once
171,What was Snape doing while Harry was struggling to control his broom?,muttering nonstop under his breath
172,What did Flint claim Harry nearly did with the Snitch after the game?,swallowed it
173,"What did the silvery gray cloth that slithered to the floor turn out to be, according to Ron?",invisibility cloak
174,What color and material was the book Harry pulled from the Restricted Section that began screaming?,black and silver
175,What is the inscription carved around the top of the mirror?,Erised stra ehru oyt ube cafru oyt on wohsi
176,What does Dumbledore say he sees when he looks into the Mirror of Erised?,"holding a pair of thick, woolen socks"
177,Who is the only known creator of the Sorcerer's Stone according to Hermione's research?,Nicolas Flamel
178,What was Snape trying to force Quirrell to help him obtain?,the Sorcerer's Stone
179,What professor did Hagrid remember he had forgotten when listing those who helped protect the Sorcerer’s Stone?,Professor Snape
180,What name did Hagrid give to the dragon he hatched?,Norbert
181,What did Hagrid pack for Norbert in case he got lonely?,teddy bear
182,"Who sent the detention notices to Harry, Hermione, and Neville?",Professor McGonagall
183,What is the stated purpose of Hagrid taking the students into the Forbidden Forest?,to try an' find the poor thing
184,What is the name of the centaur who helps Harry after the hooded figure attacks the unicorn?,Firenze
185,What message is found on the note pinned to Harry's invisibility cloak?,Just in case
186,What did Hagrid tell the stranger would make Fluffy go to sleep?,play him a bit o' music an' he'll go straight off ter sleep
187,What spell did Hermione use on Neville to stop him from blocking the portrait hole?,Petrificus Totalus
188,Why couldn't Neville speak when Harry ran to turn him over?,his jaws were jammed together
189,Who identified the birds in the chamber as winged keys?,Harry
190,Who did Quirrell claim was trying to save Harry during the Quidditch match?,Snape
191,What lie did Harry tell Quirrell about what he saw in the Mirror of Erised?,I've won the house cup for Gryffindor.
192,Why did Quirrell's hands blister when he touched Harry?,marked by something so good
193,What was the specific requirement one needed to fulfill in order to retrieve the Stone from the mirror?,"wanted to find the Stone -- find it, but not use it"
194,What were Slytherin House's initial total points before Dumbledore's last-minute adjustments?,four hundred and seventy-two
195,Why does Harry think he can have fun with Dudley this summer?,They don't know we're not allowed to use magic at home.
196,What greeting does Uncle Vernon shout to Mrs Number Seven?,Lovely evening!
197,What nickname do Dudley's friends use when addressing him?,Big D
198,What was the reason Harry felt enormous satisfaction in the alleyway?,how furious he was making Dudley
199,What did Mundungus Fletcher claim he was doing when he left his post?,see someone about a batch of cauldrons that fell off the back of a broom
200,What was Mundungus Fletcher clutching when he materialized?,a silvery bundle
201,When is Harry required to attend a disciplinary hearing according to Mafalda Hopkirk's letter?,9 a.m. on the twelfth of August
202,"What place do Dementors guard, according to Aunt Petunia?","the wizard prison, Azkaban"
203,What spell did Harry use to get rid of the Dementors?,Patronus Charm
204,What did the voice from the burning Howler tell Aunt Petunia?,"Remember my last, Petunia."
205,What does Harry say when Uncle Vernon tells him he will lock the bedroom door?,'You do that.'
206,Why did Tonks decide to change her hair color while in Harry's room?,I don't think violets really my colour
207,Which Dark-wizard-catcher is ranked higher than Tonks?,Kingsley
208,What address is written on the parchment Moody shows Harry to reveal the location of the Order's headquarters?,"number twelve, Grimmauld Place, London"
209,What was the shape of the doorknob that Harry used to enter his bedroom?,serpent's head
210,What is the name of the person who founded the Order of the Phoenix according to Hermione's explanation?,Dumbledore
211,Fudge wanted Percy in his office to fulfill what objective according to the excerpt?," ""to spy on the family - and Dumbledore"""
212,How does Hermione describe the portrayal of Harry in the newspaper articles?,"deluded, attention-seeking person who thinks he's a great tragic hero"
213,Who is the old woman in the portrait according to Sirius?,my mother
214,What was Mrs. Weasley concerned about that might be trapped in the writing desk in the drawing room?,something trapped
215,What does Mrs. Weasley emphasize as the limit on what Harry should be told according to Dumbledore's instructions?,more than he needs to know
216,"Why is Fudge resisting the idea that Voldemort returned, according to Mr. Weasley?"," ""Dumbledore"""
217,What did Sirius claim Voldemort is seeking that he lacked during his first rise to power?,a weapon he didn’t have last time
218,What did Harry use to complete Ron's interrupted utterance starting with 'Vol-'?,-demon
219,What are the Weasley twins developing using Doxy venom?,Skiving Snackboxes
220,What groups does Kreacher mention as having been allowed into the Black house?,Mudbloods and werewolves and traitors and thieves
221,Why was Regulus Black murdered by Voldemort according to Sirius?,tried to back out
222,What item remained on the wall in the drawing room despite their attempts to remove it?,the tapestry of the Black family tree
223,What caused Harry to feel even worse the night before his hearing?," ""Dumbledore had been in the house on the eve of his hearing and not asked to see him"""
224,What unusual entrance method did Harry and Mr. Weasley use to access the Ministry of Magic?,old red telephone box
225,What department is located on Level Six and includes the Floo Network Authority?,Department of Magical Transportation
226,What color were the robes worn by the members of the Wizengamot with the silver 'W' during Harry's hearing?,plum-coloured robes with an elaborately worked silver 'W'
227,What spell is Harry Potter accused of performing in a Muggle-inhabited area?,Patronus Charm
228,What did Madam Bones state Dementors do instead of running?,glide
229,What shade of color was Fudge's face described as when he argued against the idea of Dementors being outside Ministry control?,a shade of magenta of which Uncle Vernon would have been proud
230,What does Arthur Weasley suspect Lucius Malfoy uses to gain influence with Cornelius Fudge?,Gold
231,What was the description of the house-elf's attitude in the statue that Harry found convincing?,creeping servility
232,What were the two new book titles required for Harry's upcoming school year?,"The Standard Book of Spells, Grade 5, by Miranda Goshawk, and Defensive Magical Theory, by Wilbert Slinkhard"
233,What specific item did Ron request from Mrs. Weasley as a reward?,a new broom
234,What did Fred and George need Venomous Tentacula seeds for?,for the Skiving Snackboxes
235,What spell did Mrs. Weasley repeatedly shout while trying to combat the Boggart in the drawing room?,Riddikulus!
236,What form did the Boggart take after Harry's body vanished?,silvery orb
237,What type of hat was Tonks wearing when she greeted Harry and Mrs. Weasley on the corner?,purple hat shaped like a pork pie
238,What type of necklace was Luna Lovegood wearing?,a necklace of Butterbeer corks
239,What does the Quibbler article claim is the real identity of Sirius Black?,"Stubby Boardman, lead singer of popular singing group The Hobgoblins"
240,What book did Luna roll up and put into her bag?,The Quibbler
241,What does Luna claim the Ravenclaw students think about Hagrid's teaching ability?,a bit of a joke
242,What physical feature of the woman sitting next to Dumbledore causes Harry to recognize her?,"pallid, toadlike face and a pair of prominent, pouchy eyes"
243,What did Dumbledore say about the timing of speech-making before the feast?,this is not it
244,Which HP student correctly recited the password to the Gryffindor common room using a cactus as a reminder?,Neville
245,What did Harry claim Seamus' mother believed about him and Dumbledore?,She thinks I'm a liar and Dumbledore's an old fool
246,What was the title of the sign that Fred and George Weasley put up in the Gryffindor common room?,GALLONS OF GALLEONS!
247,Why does George state that Nosebleed Nougat is cheap?,"Because you'll keep bleeding till you shrivel up, we havenn't got an antidote yet"
248,How long did Cho Chang say she had supported the Tornados Quidditch team?,since I was six
249,What spell did Professor Snape use to eliminate Harry's potion?,Evanesce.
250,What is the third course aim listed by Professor Umbridge?,Placing the use of defensive magic in a context for practical use.
251,How does Professor Umbridge describe Cedric Diggory's death?,a tragic accident
252,What type of biscuit did Harry take from Professor McGonagall's tin?,Ginger Newt
253,What was the title of the essay that Ron was writing for Snape's homework?," ""the properties of moonstone and its uses in potion-making"""
254,What did Professor Grubbly-Plank say in response when Harry asked where Hagrid was?,Never you mind
255,What two creatures did Luna Lovegood mention as examples of things people believed did not exist?,the Blibbering Humdinger or the Crumple-Horned Snorkack
256,What did the quill use instead of ink when Harry wrote during his detention?,his own blood
257,What words were etched into the back of Harry's hand after his third detention with Umbridge?,I must not tell lies
258,What was Angelina's blunt assessment of Ron's Keeper tryout performance?,he's not fabulous
259,Why does Hermione tell Harry not to put certain information in letters?," ""owls aren't being intercepted any more"""
260,What name did Harry whisper to Hedwig indicating the true recipient of the letter despite the listed address?,Sirius
261,What was the headline of the article in the Daily Prophet detailing Sturgis Podmore's illegal entry into the Ministry?,TRESPASS AT MINISTRY
262,What did Fred say Katie swallowed by mistake?,Blood Blisterpod
263,What individual did Percy mention as having been sent to Azkaban for trespass at the Ministry?,Sturgis Podmore
264,What did Hermione correct in Harry's essay regarding Europa?,"covered in ice, not mice"
265,What is the name of the position Dolores Umbridge was appointed to according to the Daily Prophet article's headline?,High Inquisitor
266,What does the grade 'P' stand for in the Hogwarts grading system according to the Gryffindor students?,Poor
267,What did Professor Trelawney claim she sensed regarding Professor Umbridge's future?,in grave danger
268,What phrase was Harry required to write repeatedly during his detention with Professor Umbridge?,I must not tell lies
269,Why did Professor McGonagall explain that vanishing a mouse is more challenging than vanishing a snail?,the complexity of the animal to be Vanished
270,What does Hermione suggest Harry should do for the group's defense training?,teaching us Defence Against the Dark Arts
271,What had Hermione progressed to Vanishing in Transfiguration before the Defence lesson idea was brought up again?,kittens
272,Why did Hermione choose the Hog's Head over the Three Broomsticks for the meeting?,students don't normally go in there
273,What is the name of the Hufflepuff Quidditch team member who questions Harry about the proof of Voldemort's return?,Zacharias Smith
274,What does Luna Lovegood claim Cornelius Fudge has an army of?,Heliopaths
275,What is the title of the chapter in which the notice about disbanding student groups is posted?,Educational Decree Number Twenty-four
276,What did Hermione do to the parchment they all signed?,put a jinx on that piece of parchment
277,What conclusion did Professor Grubbly-Plank reach about the cause of Hedwig's injury?,something's attacked her
278,What specific ward did Draco Malfoy claim St Mungo's has for people affected by magical damage?,special ward for people whose brains have been addled by magic
279,What does Hermione believe about Professor Trelawney's abilities?,an absolutely appalling teacher and a real old fraud
280,What did Hermione suggest was needed instead of an Invisibility Cloak for hiding twenty-eight students in the Shrieking Shack?,an Invisibility Marquee
281,What accusation did Filch make against Harry that led Hermione to suspect Umbridge was involved?,ordering Dungbombs
282,How does Harry describe the way he senses Voldemort's state?,flashes of what mood he's in
283,How many people does Harry need to accommodate to practice Defence Against the Dark Arts without being discovered by the teachers?,twenty-eight
284,What is another name for the Room of Requirement according to Dobby?,the Come and Go Room
285,What does the DA in the group's name stand for according to Ginny's suggestion?,Dumbledore's Army
286,What magical charm did Hermione use on the fake Galleons to make them change when Harry adjusted the meeting time?,Protean Charm
287,Who hexed Alicia Spinnet with a charm that caused her eyebrows to grow uncontrollably?,Miles Bletchley
288,"According to the song sung by the Slytherin fans, where was Ron Weasley born?",a bin
289,What hit Harry immediately after he caught the Golden Snitch?,a Bludger
290,What object was Harry holding when he punched Draco Malfoy?,the Snitch
291,What did Hermione announce that might cheer Harry and Ron up?,Hagrid's back
292,Who accompanied Hagrid on his mission to find the giants?,Madame Maxime
293,What specific item did Hagrid present to Karkus as a gift from Dumbledore?,a branch o' Gubraithian fire
294,Whose head was found at the bottom of the lake according to Hagrid?,Karkus's
295,What Death Eater did Hagrid recognize visiting the Gurg?,Macnair
296,"What title, besides Defence Against the Dark Arts teacher, does Umbridge announce upon arriving at Hagrid's cabin?",Hogwarts High Inquisitor
297,What was Hagrid carrying over his shoulder when the class arrived on Tuesday?,half a dead cow
298,What did Hagrid mistakenly attribute the sound of Umbridge's fake cough to?,Thestral
299,What term does Hermione directly use to describe Professor Umbridge after the latter announces her intention to walk among the students and ask questions?,evil hag
300,What did Luna Lovegood mention that the mistletoe is often infested with?,Nargles
301,"According to Harry, what is the mistletoe over his head full of?",Nargles
302,What did Harry claim attacked Ron's father in his dream?,a huge snake
303,What perspective did Harry state he had when witnessing the attack on Mr. Weasley?," ""the snake's point of view"""
304,"What does the smoke serpent do when Dumbledore asks, 'But in essence divided?'",split itself into two snakes
305,What object did Dumbledore indicate as the Portkey in his office?,the old kettle
306,What was the exact phrase used by the parchment's message to describe Mr. Weasley's condition before Mrs. Weasley arrived?,Dad is still alive
307,Why couldn't St. Mungo's be placed underground like the Ministry?,wouldn't be healthy
308,What ward was Arthur Weasley moved to according to the Welcome Witch?,Dai Llewellyn Ward
309, that Voldemort is attempting to utilize?,the weapon
310,What exact message did Phineas Nigellus say Dumbledore had for Harry?,Stay where you are
311,What specific phrase did Hermione's Christmas gift to Harry utter when a page was opened?,Do it today or later you'll pay!
312,"According to Sirius, where does Kreacher sleep?",under the boiler in that cupboard off the kitchen
313,Why had Mr. Weasley’s bandages been changed a day early?,Augustus Pye
314,What does Mrs. Longbottom claim caused the condition of Neville's parents?,tortured into insanity by You-Know-Who's followers
315,What curse was Bellatrix Lestrange accused of using on Neville's parents that led to her imprisonment in Azkaban?,Cruciatus Curse
316,What was Snape’s exact response when Sirius asked if he was calling him a coward?,"Why, yes, I suppose I am."
317,What type of classes is Harry anticipating Snape will teach in a manner he describes as 'foully'?," ""Occlumency classes"""
318,Why does Professor Dumbledore want Harry to learn Occlumency?,to close your mind to the Dark Lord
319,Why did the Dark Lord become aware that Harry was accessing his thoughts?," ""such a powerful incursion upon the Dark Lord's thoughts"""
320,What location does the corridor that Harry recognized lead to?,the Department of Mysteries
321,What did the Ministry fear Sirius Black had become for the Death Eaters according to the Daily Prophet headline?,RALLYING POINT
322,What type of plant caused Broderich Bode's death according to the newspaper report?,Devil's Snare
323,What was the number of the Educational Decree issued by Dolores Umbridge that prohibited teachers from giving students information unrelated to their subjects?,Twenty-six
324,What was featured on the poster in the window of Dervish and Banges?,the pictures of the ten escaped Death Eaters
325,What decorations were hovering over the tables at Madam Puddifoot's and threw pink confetti?,golden cherubs
326,What did Hagrid claim caused the injuries on his face?,normal bumps an' bruises
327,What does Hermione threaten to report Rita Skeeter as if she refuses to conduct Harry's interview?,unregistered Animagus
328,What did Hermione specifically criticize Harry for being during his date with Cho?,a bit tactless
329,What was the final score of the Quidditch match between Gryffindor and Hufflepuff?,two hundred and forty versus two hundred and thirty
330,What educational decree number is cited as the basis for banning The Quibbler at Hogwarts?,Twenty-seven
331,What was Bode attempting to steal that resulted in him being hospitalized in St. Mungo's?,the weapon
332,Why was Sturgis Podmore arrested?,arrested for trying to get through a door
333,Why do you call Voldemort the Dark Lord? I've only ever heard Death Eaters call him that.,Death Eaters
334,Why can't Firenze return to the Forbidden Forest?,My herd has banished me
335,Why did the other centaurs banish Firenze?,Because I have agreed to work for Professor Dumbledore
336,What was Dobby's exact response when Harry asked if Umbridge was coming?,"Yes, Harry Potter, yes!"
337,What is the full name of the student who was brought into the office as an informant?,Marietta Edgecombe
338,When did the Ministry Decree banning student societies come into effect relative to Harry's meeting in the Hog's Head?,not put into effect until two days after Harry's Hogsmeade meeting
339,What name did Dumbledore give to the student organization he admitted to organizing to Fudge?,Dumbledore's Army
340,What additional penalty did Malfoy claim to deduct from Hermione for being a Mudblood?,ten off
341,What decree did Filch mention that would allow him to punish students harshly?,Educational Decree Number Twenty-nine
342,What specific type of fireworks did Fred and George use in their prank?,Weasleys' Wildfire Whiz-bangs
