id,question,answer
33,Professor Slughorn has resumed his old post as ____ master at Hogwarts.,Potions
33,Malfoy used his ____ to make his fork hover in midair.,wand
34,The new Potions professor at Hogwarts under whom Ron believed Harry could proceed was Professor ___.,Slughorn
35,Snape uses the example of a witch in agony to illustrate the effects of the ________.,Cruciatus Curse
36,Harry is the new Captain of which Quidditch team?,Gryffindor
36,What is the name of the potion that allows the drinker to transform into another person?,Polyjuice Potion
37,"The potion known as 'liquid luck,' described by Professor Slughorn, is __________.",Felix Felicis
37,"The potion that causes a powerful infatuation, identified by Hermione, is __________.",Amortentia
38,What revealing charm did Hermione cast on the textbook to check for enchantments named Specialis?,Revelio
39,The object Dumbledore used to store and reveal memories is called the ______.,Pensieve
39,The phoenix in Dumbledore's Office is named ______.,Fawkes
39,The wizard originally assigned to supervise Harry's detention was Professor ______.,Snape
40,Morfin’s sister stood beside a steaming pot on a grimy black stove in a room that served as both kitchen and [blank].,living room
41,The spell Ogden used to repair the broken pot was ___,Reparo
42,The Wizarding prison where Morfin Gaunt served time is ______.,Azkaban
42,The magical language spoken by the Gaunt family members is ______.,Parseltongue
43,What is the last name of the student who succeeded in Potions with the Half-Blood Prince's manual?,Weasley
44,The name of Harry's snowy white owl is ______.,Hedwig
44,The Headmaster whose chair was empty during Quidditch trials is ______.,Dumbledore
44,The students whispering distressfully at breakfast were Lavender Brown and ______.,Parvati Patil
44,The publication Hermione scanned for news of dementor attacks was the ______.,Daily Prophet
45,Hagrid's enormous boarhound was named,Fang
46,The Forbidden Forest spider colony was led by a gigantic talking spider named ______ who had been ill.,Aragog
47,What is the specific name of the Weasley father mentioned in the Prophet article?,Arthur Weasley
48,The counter-jinx reminded Hermione of similar abuses by which dark group at the World Cup? ,Death Eaters
48,Who accompanied Harry to Hogsmeade against Hermione's convictions about studying untrusted spells? ,Ron
48,The welcoming sweet shop that was open after Zonko's Dark Art removal was... ,Honeydukes
49,The barmaid's name at the Three Broomsticks was Madam ___.,Rosmerta
50,Which elderly Hogwarts staff member typically cared for injured students?,Madam Pomfrey
51,Malfoy's absence in Hogsmeade was explained by his detention with Professor ___.,McGonagall
51,The shop where Malfoy met Mr. Borgin is called ___.,Borgin and Burkes
52,"The baby born to Merope eventually became known as Lord ______, hinting his identity before rising in dark power.",Voldemort
52,"The hospital sending hourly reports on Katie's condition to Dumbledore is ______, the magical London facility.",St. Mungo's
52,The Muggle who abandoned Merope and returned to his family home in Little Hangleton is ______ Riddle.,Tom
53,What is the name of the magical school represented by Dumbledore?,Hogwarts
53,Who is the orphanage matron talking to Dumbledore during his visit?,Mrs. Cole
53,Tom Riddle was given the name Marvolo for his mother's _.,father
54,The ability Hogwarts students possess is ___?,magic
54,The object used by Dumbledore to ignite flames is his ___?,wand
54,"To address respectfully, Riddle apologizes and calls Dumbledore Professor ___?",Dumbledore
54,The child Hogwarts invites to attend is named ___ Riddle?,Tom
54,The room containing the defective wardrobe is described as a small bare ___?,room
54,The magical school mentioned in Dumbledore's invitation is called ___?,Hogwarts
55,The alley where Hogwarts students buy supplies is called ______,Diagon Alley
55,Dumbledore mentioned the Ministry of ______ as the magical law enforcer,Magic
56,What derogatory group name does Ron give to Hermione's social circle besides the words Rocky's? The Slug _______,Club
56,The Herbology teacher who lost her hat to a pod was Professor _______,Sprout
56,Whose presence in the greenhouse interrupted Ron and Hermione's argument temporarily? _______,Harry
57,The Hogwarts house Ron and Harry were captaining was ______.,Gryffindor
58,Which person does Ginny claim Harry snogged?,Cho Chang
59,What is the song title the crowd sang about Ron?,Weasley Is Our King
60,"After losing the match, which house's team members were missing? ________ Quidditch team.",Slytherin
60,The portrait Harry followed Hermione through depicted the Fat ________.,Lady
60,Romilda Vane teased Harry about attending the Christmas party with her and Professor ________.,Slughorn
61,Harry's voice seemed likely to vanish due to limited use as he tried staying neutral between Ron and ______,Hermione
61,The book with the prince's notes is titled Advanced Potion-______,Making
61,"Borage wrote the text used in potion class, annotated by the Half-blood ______",prince
61,"The library's caretaker, who watched Hermione and Harry, was Madam ______",Pince
61,Harry learned from the Half-blood ______,prince
61,Which Weasley twin's name starts with Fred and ends with ______?,George
61,Who received scratches from Hermione's bird spell? ______,Ron
61,"Fred and George's shop, which Romilda Vane's potions came from, is Weasley's Wizard ______",Wheezes
62,Hermione implies that Love ______ are not considered dark magic.,potions
62,Hermione left her books after a Transfiguration ___ ___ ___',lesson
62,Harry invites Luna Lovegood to Professor Slughorn's Christmas ___ .,party
63,What is the Quidditch position that Cormac 'almost' became? ___.,Keeper
63,"Hermione corrected Parvati, stating she liked 'really good' ___ players.",Quidditch
63,Luna's robes were described as spangled ___.,silver
64,Snape refers to Harry's 'distinctive' career aspiration as an ___,Auror
65,The magical item Harry used to sneak out of the party was his ______,Invisibility Cloak
65,Snape referenced Draco’s training under Aunt ______ in Occlumency,Bellatrix
65,Snape mentions making the Unbreakable ______ to protect Draco,Vow
65,The two students imprisoned in detention were Crabbe and ______,Goyle
66,Who does Harry resolve to report Snape's intended collusion with Malfoy to as their trusted authority?,Dumbledore
67,The angel on top of the Weasleys' tree was actually a garden ____________ dressed in a tutu.,gnome
68,Who was bitten by Greyback when very young?,Remus Lupin
69,The professor whose party Hermione attended with Ron was,Slughorn
70,The phrase carved into Harry's hand by Umbridge is 'I must not ______.',tell lies
71,"After returning to Hogwarts, Harry and his friends arrive in Professor ______'s office.",McGonagall
71,The portrait guarding Gryffindor Tower is called the ______.,Fat Lady
72,The ___ who taught the sixth years is Professor Flitwick.,Charms
73,Harry overheard Malfoy and Snape during Professor _____'s party.,Slughorn
73,Tom Riddle was placed in _____ House almost immediately by the Sorting Hat.,Slytherin
74,What prison did Morfin Gaunt spend his latter years bemoaning the loss of the black-stoned ring after being transported there unjustly?,Azkaban
75,What is the name of the magical device that the professor used for sharing memories?,Pensieve
76,What is the term for the advanced Dark Magic objects that Hermione could not immediately define?,Horcruxes
77,The library referenced in Hermione's futile research attempts was the Hogwarts __________.,library
77,Slughorn's voice transformed into a terror-filled tone when discussing __________.,Horcruxes
77,Hermione and Ron remained annoyed at Harry after the lesson despite being members of the __________ house.,Gryffindor
77,Hermione failed to find explanations in the Hogwarts library for the forbidden objects called __________.,Horcruxes
77,What Hogwarts house earned extra ten points for 'sheer cheek' after Harry's bezoar presentation?,Gryffindor
77,Dumbledore's name alerted Harry to having been the one mocked in Slughorn's __________ about Horcruxes.,memory
78,The Hogwarts house led by Professor Sprout is _______ house.,Hufflepuff
78,What is the surname of the Ministry's Apparition Instructor named Wilkie?,Twycross
78,The book Hermione found mentioning Horcruxes is titled Magick Moste ______.,Evile
79,Harry used the _____ to track Malfoy's movements,Marauder's Map
79,Susan Bones belonged to the _____ house,Hufflepuff
80,The enchanted item Harry regretted not using to follow Malfoy is the ______.," ""Invisibility Cloak"""
81,Who does Hermione sit beside in the hospital wing with Ginny and Fred during Ron's recovery?,Harry
82,The creature Hagrid visited in the Forbidden Forest was ___.,Aragog
82,The poisoned drink offered to Ron was originally given by Professor ___.,Slughorn
82,The previous incident Hagrid compares to Hogwarts's current danger is the Chamber o' ___.,Secrets
82,The governing body Hagrid warned about closing Hogwarts was the Board of ___.,governors
83,To which school does the text refer when mentioning a place for underage wizards with potential dangers?,Hogwarts
83,With which house does Snape conduct investigations as per Dumbledore's instruction to Hagrid?,Slytherin
83,What enchanted parchment's creased edges does Harry frequently monitor for Malfoy's whereabouts?,Marauder's Map
83,What is the name of the portrait allowing entry to Gryffindor that grumbles about nocturnal interruptions?,The Fat Lady
83,Which Hogwarts headteacher expresses trust in Snape while concealing concerns about potential betrayal?,Dumbledore
83,What Hogwarts house is Zacharias Smith associated with during the anticipated Quidditch matchup?,Hufflepuff
84,The professor accompanying Luna during the commentary was ___.,Professor McGonagall
85,Which Hogwarts nurse threatened to call the headmaster if Harry moved? ,Madam Pomfrey
86,The crippled house-elf who vowed to throw himself off a tower is ____.,Dobby
86,Peeves the ____ arrived above the fighting elves.,Poltergeist
87,The subject Dumbledore called more trouble than anticipated was ___.,Divination
87,Harry was tasked with retrieving a memory from ___ for Dumbledore.,Slughorn
88,The subject Voldemort sought to teach at Hogwarts after graduation was ___.,Defense Against the Dark Arts
88,Dumbledore tapped the crystal bottle before pouring the memory into the magical device called the ___.,Pensieve
89,The cup had two finely wrought ______.,handles
90,The society Hermione set up to advocate for house-elves was called ______.,S.P.E.W.
91,The specific subject Voldemort wanted to teach at Hogwarts was ___________.,Defense Against the Dark Arts
92,The house-elf who proudly declared not sleeping for a week is _______.,Dobby
92,The memory Harry needed was from Professor _______.,Slughorn
92,Hermione described the illegal method of controlling someone's actions as the ________ Curse.,Imperius
93,The potion Malfoy stole to allow transformations is _____,Polyjuice Potion
93,The potion Malfoy stole to have Crabbe and Goyle transform into others is _____,Polyjuice Potion
94,What is the magical prison where Mundungus was sent? Mundungus was sent to,Azkaban
94,The secret location opposite the tapestry is known as the Room of,Requirement
95,"The person who called Snape's jibe about Ron's Apparition ""hotly"" was",Hermione
96,The sender of the parchment scroll inviting Harry to the burial was _,Hagrid
96,The item Harry donned again to evade detection in the corridor was the _,Invisibility Cloak
97,Ron encouraged Harry to take which potion for luck that could be simplified as 'liquid luck‘?,Felix Felicis
98,Harry used the ______ to stay unseen as he exited.,Invisibility Cloak
98,The potion Harry consumed was ______ to gain luck.,Felix Felicis
99,Harry told Slughorn he wanted to be there to support Hagrid when burying ___.,Aragog
99,Who is the headmaster that Slughorn trusted for judgment on Hagrid's behavior?,Dumbledore
99,Harry's companions were unable to attend: Hermione and ___.,Ron
100,Slughorn refers to the Chamber of Secrets when he asks Hagrid how he was thrown out for opening the ______.,Chamber of Secrets
100,Which wizard's name is mispronounced as 'Parry Otter' by Slughorn?,Harry Potter
101,The name of the dark wizard who murdered Lily's husband is...?,Voldemort
101,The Hogwarts gamekeeper mentioned in the cabin was...?,Hagrid
101,The garment Harry used to sneak into the castle was his...?,Invisibility Cloak
102,The headmaster who smiled widely after Harry showed him the memory was _____,Dumbledore
102,The stone basin into which Dumbledore emptied Slughorn's memory was the _____,Pensieve
103,The girl whose life was sapped by the diary's soul fragment was a Hogwarts (blank).,student
103,Harry and Dumbledore discussed their conversation in the headmaster's (blank).,office
104,The prison where Morfin Gaunt was carted off to before Voldemort could retrieve family heirlooms is ________.,Azkaban
104,The founder artifact protected by a ruby-encrusted case in Dumbledore’s office is Gryffindor’s ________.,sword
104,The artifact Voldemort hid in the woods and protected with enchantments is Marvolo's ________.,ring
104,The ring was hidden in the ruin of the Gaunt’s ancestral ________.,house
104,"Dumbledore hypothesizes that Voldemort's sixth Horcrux is embodied within his loyal snake, ________.",Nagini
104,The locket and Hufflepuff's cup are suspected to be Voldemort's third and fourth ________.,Horcruxes
105,"In what place is Lucius Malfoy currently imprisoned, according to Dumbledore?"," ""Azkaban"""
106,The phrase 'dragged into the arena' contrasted with walking in with your head held ___,High
107,The Hogwarts house achieving peak Quidditch performance is ______.," ""Gryffindor"""
107,The professors' name Hermione rushes to consult regarding Arithmancy is ______.," ""Professor Vector"""
108,The book Ron retrieves for Harry reads as 'Advanced Potion-____'.,Making
108,Harry sprints first to Gryffindor ____ after casting the injurious spell on Malfoy.,Tower
108,"When summoned by pacing thrice before blank walls, Harry accesses the Room of ____.",Requirement
108,Snape recognizes that Harry learned the Dark Magic from the Half-Blood ____.,Prince
109,What ghost shared Harry's detention news in every bathroom?,Moaning Myrtle
110,The Hogwarts student banned from the final match of the season is ______.,Harry Potter
110,The name of the chapter discussing Harry's new relationship with Ginny is The Seer ______.,Overheard
110,Ginny humorously claimed Harry's supposed tattoo was a Hungarian ______.,Horntail
110,The legendary troublemaker linked to James Potter was ______.,Sirius Black
111,"During detentions, Snape implied Harry might continue labor until the end of ____, then again next year.",term
111,Who sent Harry a parchment requesting his immediate presence in their office?,Dumbledore
111,Harry was kept from returning to the Room of ____ to retrieve his potions book.,Requirement
112,What is the name of the phoenix at Hogwarts?,Fawkes
112,Whose eavesdropping changed the course of Harry's life according to Trelawney?,Snape
113,Harry said that __________ told Voldemort about the prophecy.,Snape
114,Who did Harry believe would know how to avoid Dumbledore's protection if involved?,Snape
115,The object Dumbledore repaired was called a ______...,Horcrux
115,"The lake has a smooth, glassy blackness on its ______.",surface
116,"The individual Dumbledore referred to as ""Lord ______"" is the creator of the Horcrux.",Voldemort
116,The dark wizard who created the Horcrux is ______.,Voldemort
117,Dumbledore conjured an empty crystal ______ to drink the potion.,goblet
117,Harry entrusted Felix Felicis to Ron and ______ earlier.,Hermione
118,What spell did Harry shout to immobilize the first Inferius? Petrificus ,Totalus
119,Which magical town did Harry and Dumbledore Apparate to after recovering the locket? ," ""Hogsmeade"""
119,Which barmaid wearing a dragon-embroidered dressing-gown assisted Dumbledore in Hogsmeade? ," ""Madam Rosmerta"""
120,The Death Eaters' Mark was hanging over which educational institution?,Hogwarts
120,Which castle's boundary wall enchantments were undone by Dumbledore?,Hogwarts
121,Rosmerta was forced to help Malfoy while under the __,Imperius Curse
122,The magical ability Voldemort might use to detect deception is ______.," ""Legilimency"""
122,"Malfoy's first name, as used by Dumbledore during their confrontation, is ______."," ""Draco"""
123,The sister of the lumpy Amycus was the Death Eater ______.,Alecto
124,The Hufflepuff student who spoke to Harry was ______,Ernie Macmillan
124,The cabinet was located in the Room of ______,Requirement
125,Hagrid carried the dog named ___ on his back,Fang
126,"The real Horcrux Dumbledore sought bore the ornate 'S' of its creator, ____.",Slytherin
126,The curse that destroyed Dumbledore involved the incantation '____.',Avada Kedavra
126,Bill’s future challenges included wolflike traits from ____ bites.,werewolf
126,R.A.B.’s letter confirmed the Dark Lord’s true ____ was stolen.,Horcrux
127,What derogatory epithet did Snape use to describe Harry's mother?,Mudblood
127,Whose repentance was described by Professor McGonagall as Dumbledore's ironclad reason for trust?,Snape
128,Who is the mother of Bill crying over his wounds in the hospital wing?,Mrs. Weasley
128,Who seized Lupin's robes to passionately profess her love despite his objections?,Tonks
129,The Sorting Hat rests in a desk behind ______'s now-empty office.,Dumbledore
130,Dumbledore's phoenix that stopped singing and left Hogwarts was named ______,Fawkes
131,"Snape's mother was named ______, whose maiden name he was proud of.",Eileen Prince
132,"Hagrid's half-brother, the giant ______, sank the chair during a pat on the head.",Grawp
132,Fred and ______ sat beside Bill as they gathered by the lake.,George
132,Harry did not believe that Malfoy would have killed ______ despite his dark allegiance.,Dumbledore
132,Rufus ______ shared a front row seat with Professor McGonagall.,Scrimgeour
133,The airborne shapes formed from Dumbledore's fire were identified as a ___.,phoenix
134,What is the name of Mr. Dursley's drill-making firm? ,Grunnings
135,What is the name of the company where Mr. Dursley worked?,Grunnings
135,What clothing item was absent when Mr. Dursley noticed the oddly dressed people near the bakery?,hat
135,What is the surname shared by the son whose name Mr. Dursley couldn't confirm?,Potter
135,What was the name of the son Mrs. Dursley mentioned had learned a new word?,Dudley
135,What is the rare term the violet-cloaked man used to describe Mr. Dursley?,Muggle
135,What mode of transportation did Mr. Dursley use to get to the company parking lot?,car
136,Dumbledore insisted people should call the dark wizard by his proper name ______,Voldemort
137,The person bringing Harry on the motorcycle is named _____,Hagrid
137,The surname of Harry's aunt and uncle is _____,Dursleys
138,Harry's scar shape mirrored a bolt of ___.,lightning
138,Harry's cousin whose birthday is celebrated is Dudley ___.,Dursley
140,Mrs. Figg's injury was a ___ leg from tripping over a cat.,broken
141,Giant elastic ____ portrayal described Harry's heart sensations.,band
141,Emerald ____ ink marked Hogwarts' important correspondence.,green
141,Vernon's sister lived on the ___ of Wight.,Isle
141,Spiders fell from ceiling during Vernon's explosive ____.,speech
141,The Dursleys' house had four ___ overall.,bedrooms
141,Vernon's ___ black shoes showed nervous pacing patterns.,shiny
141,Uncle Vernon's skin turned ___ when reading the letter.,green
141,Uncle Vernon's sister Marge traveled to the ___ of Wight.,Isle
141,A ___ had vacation greetings from the Isle of Wight.,postcard
141,Harry moved into Dudley's second ___ for new space.,bedroom
141,Harry's glasses dangled from one ___ when he lay down.,ear
142,The radio extra plucked from the melody was humming by Uncle Vernon as he worked... 'Tiptoe Through the ______' ,Tulips
143,Rubeus Hagrid is the Keeper of Keys and Grounds at ___,Hogwarts
143,Rubeus Hagrid is the Keeper of Keys and Grounds at ___,Hogwarts
144,What is the name of the giant who gives Harry his letter?,Hagrid
144,What is the name of the school where Hagrid is described as Keeper of Keys?,Hogwarts
144,What term does Hagrid use to describe non-magical people like the Dursleys?,Muggle
145,Harry was left with his relatives the ______ after his parents' death.,Dursleys
145,The wizard who gave Hagrid orders to take Harry was ______.,Dumbledore
145,Hagrid hesitated before finally saying the name ______ when describing the dark wizard.,Voldemort
145,Harry's mother ______ was described by Aunt Petunia as a 'freak'.,Lily
146,Which bank was tasked to provide Harry with his parents' inheritance?,Gringotts
146,What does Hagrid accidentally transform Dudley's bottom into?,pig
146,What term describes someone like Uncle Vernon who cannot perform magic?,Muggle
146,What is the name of the boy Hagrid believes will be famous at Hogwarts?,Harry Potter
146,What is the name of the school Hagrid called the finest for witchcraft and wizardry?,Hogwarts
147,Who usually gets Hagrid to do important tasks for Hogwarts business?,Dumbledore
147,The Ministry of Magic aims to keep the existence of witches and wizards hidden from which group?,Muggles
147,Hagrid says he's often pelted by what bird-based communication method from the Ministry?,owls
147,What is the name of the wizarding school that Hagrid calls 'the safest place in the world' besides Gringotts?,Hogwarts
148,The young wizard everyone rushes to meet and shake hands with is Harry ______.,Potter
148,The individual who bows to Harry in a shop and exclaims new book form is named Dedalus ______.,Diggle
148,The bank in Diagon Alley guarded by goblins where Harry has a vault is called ______.,Gringotts
148,The shopkeeper at the Leaky Cauldron who recognizes Harry is named ______.,Tom
149,The goblin read a letter from Professor ______ to allow access to the vault.,Dumbledore
149,The underground lake they passed was lined with stalactites and ______.,stalagmites
149,"Students at Hogwarts use currency such as Galleons, Sickles, and ______.",Knuts
149,The establishment Hagrid wanted to stop at after Gringotts was the Leaky ______.,Cauldron
150,The name of the wizarding sport that is equivalent to soccer is ______,Quidditch
150,Hagrid states that every dark wizard was in the Hogwarts house of ______,Slytherin
150,The term used in the wizarding world for non magical people is ______,Muggle
151,"At first Harry's wand is a beechwood core with dragon heartstrings, followed by maple with...",phoenix feather
151,Harry found spells backfired because previously he used wands never created by which maker?,Ollivander
151,"Each Ollivander wand core comes from magical creatures like phoenixes and dragons, but also which other mystical animal?",unicorns
152,Harry decided to name his new owl _____,Hedwig
153,The train that Harry boards is called the Hogwarts ___,Express
153,The youngest red-haired Weasley brother Harry sees initially is ___,Ron
153,The sound that signals the train's departure is the ___,whistle
153,The Weasley brother with a 'P' badge who enters the scene after the twins and Ron is ___,Percy
153,"George and Fred's last name, directly stated when they introduce themselves, is ___",Weasley
154,"The name of what Ron pulled out of his jacket, who is described as a fat gray rat that was asleep, is ______.",Scabbers
154,The sibling between Charlie and Fred who is characterized as a Hogwarts prefect is ______.,Percy
154,"The dark wizard defeated by Dumbledore in 1945, according to Harry's card, was ______.",Grindelwald
154,Harry paid eleven silver Sickles and seven bronze ______ for the sweets from the corridor cart.,Knuts
154,The train journey outside of London's destinations extended to fields full of cows and ______ as it sped north.,sheep
154,Ron claimed the magical world's photos can move unlike the static ones in the ______ world.,Muggle
155,The newspaper mentioned by Ron is the Daily ___.,Prophet
155,Which Hogwarts house does Hermione express hope to be sorted into?,Gryffindor
155,What continent is Bill Weasley working in for Gringotts?,Africa
155,Which country does Ron's brother Charlie study dragons in?,Romania
155,The boys flanking Draco Malfoy were named Crabbe and ___?,Goyle
156,The Hogwarts student who antagonizes Harry on the train and offers to help him is ___,Draco Malfoy
156,The name of Ron's rat that attacks Goyle is ___,Scabbers
156,The first-years are greeted at Hogwarts' entrance by Professor ___,McGonagall
156,The chapter where students are sorted into houses is titled 'The Sorting ___',Hat
157,"The four Hogwarts houses include Gryffindor, Ravenclaw, Slytherin, and __________.",Hufflepuff
157,The Hogwarts house described as valuing 'just and loyal' students is __________.,Hufflepuff
157,The Hogwarts house described as valuing 'wit and learning' students is __________.,Ravenclaw
157,The Hogwarts house described as valuing 'the brave at heart' is __________.,Gryffindor
157,The Hogwarts house described as valuing 'cunning folk who use any means to achieve their ends' is __________.,Slytherin
157,The Hogwarts house directly achieving its first student during the scenes was __________.,Gryffindor
158,"Bulstrode, Millicent was sorted into ______.",Slytherin
159,"What class is Hermione excited to learn, known for transforming objects? ",Transfiguration
159,Which house's ghost is described as having robes stained with silver blood? ,Slytherin
159,Who is the caretaker that requested reminders about no magic in corridors? ,Filch
159,"The Bloody Baron, who is covered in blood, belongs to which Hogwarts house? ",Slytherin
159,What is the name of Neville's great uncle who tested his magical abilities? ,Algie
160,What class is taught by Professor Sprout? ____,Herbology
160,What ghost guides Gryffindor students? Nearly Headless ____,Nick
160,What is the name of the cat owned by Argus Filch? ____,Mrs. Norris
161,Professor McGonagall is the head of ______ House,Gryffindor
161,Harry's owl that delivered the reply note to the tea invitation was,Hedwig
161,The person who invited Harry for tea on Friday afternoon was,Hagrid
162,Hagrid's dog that bounded at Ron and licked his ears is named _____,Fang
162,The newspaper reporting the Gringotts break-in is the _____,Daily Prophet
162,Hagrid's house is on the edge of the _____,forbidden forest
162,The last name of the boy Harry hated more than Dudley is _____,Malfoy
162,Hagrid's enormous black boarhound that bounded at Ron and licked his ears is named _____,Fang
162,Neville's glass smoke-filled item that glows scarlet when he forgets something is a _____,Remembrall
162,The newspaper that published the article about the Gringotts break-in is the _____,Daily Prophet
162,Hagrid's small wooden house is located on the edge of the _____,forbidden forest
162,The last name of the boy Harry hated more than Dudley before meeting him is _____,Malfoy
163,Which Slytherin girl taunted Parvati Patil about defending her classmate?," ""Pansy Parkinson"""
164,Harry's position on the Quidditch team is a ______.,Seeker
164,Harry's father was an 'excellent Quidditch ______' himself.,player
164,Malfoy was flanked by Crabbe and ______ during the challenge.,Goyle
164,The Gryffindor Quidditch team's captain was ______.,Oliver Wood
165,Which house did Hermione claim she didn't want to win the house cup,Slytherin
166,Who refused to speak with Harry and Ron after the forbidden corridor incident?,Hermione
167,The poles at either end of the field are called the goal ______.,posts
167,The position responsible for guarding the hoops in Quidditch is the ______.,Keeper
167,The professor who introduced the flying charm in class was Professor ______.,Flitwick
167,The Quidditch team's role that involves chasing the Golden Snitch is the ______.,Seeker
167,Each team is allowed two ______ to defend against the Bludgers.,Beaters
167,Oliver Wood is the Keeper for the ______ House team.,Gryffindor
168,The professor perched on books during Charms class was Professor ___.,Flitwick
168,The student Ron worked with during the practice was Hermione ___.,Granger
168,The spell that Ron and Harry struggled with was called 'Wingardium ___.',Leviosa
169,Ron's spell that made the club fly was ______.,Wingardium Leviosa
169,Ron knocked out the troll with its own ______.,club
170,The pet rat ___ had destroyed the sheets Harry's friends used for the banner.,Scabbers
171,Which Hogwarts house supporters were howling and moaning beneath Lee Jordan's commentary?,Slytherins
171,Who was the Weasley twin that chased an aggressive Bludger away from Harry's path?,Fred Weasley
172,Nicolas Flamel was mentioned in relation to guarding a secret with Dumbledore before what holiday?,Christmas
172,Who reminded Harry about researching Nicolas Flamel right before their first holiday lunch plans?,Hermione
173,The Hogwarts librarian who brandishes a feather duster is,Madam Pince
173,The person who gives Harry a hand-whittled wooden flute is,Hagrid
174,The students who bounded into Harry's dormitory were Fred and George...,Weasley
174,The Weasley twin whose sweater was marked with a yellow 'F' was...,Fred
175,Harry later regretted not finding information about Nicolas ___,Flamel
176,What does Dumbledore reveal he always desires? Thick woolen ________,socks
